datatime;operation;info
04/03/2024, 14:42:29;AutoImport;"1/1 -> ""D:\myProjects\pocodibuono\invoiceXml2Db\xml_files_pdb\passive\IT02002750483_00000186A2.xml"""
04/03/2024, 14:43:18;Error;unconverted data remains: +01:00
